x,y,heading
0.0,0.0,243.28970336900002
-0.025323504995192106,-0.0119412024505,243.299453735
-0.05064701241272391,-0.023893492762,243.310394287
-0.07597051740791602,-0.0359123097733,243.321792603
-0.10129402482544782,-0.0480087371543,243.33390808099998
-0.1265223270257577,-0.06019386556,243.34490966799999
-0.15175063407074693,-0.0724787786603,243.35430908200001
-0.17707413906593905,-0.0848080441356,243.362564087
-0.2023024436885886,-0.0971594825387,243.369171143
-0.22753074831123815,-0.109510922339,243.374191284
-0.25285425330643024,-0.121795838699,243.37886047400002
-0.27817776072396205,-0.134036403615,243.383926392
-0.30359646851403643,-0.146221531089,243.390533447
-0.3290151738817711,-0.158373393584,243.39822387700002
-0.3546242824169305,-0.170536349528,243.40725708
-0.3801381930018871,-0.182743651792,243.417556763
-0.40574729911470686,-0.195006391034,243.429153442
-0.43135641007220604,-0.207313481253,243.441162109
-0.45687031823482294,-0.219598394819,243.435684204
-0.48247942919232206,-0.231827872805,243.44622802700002
-0.508183738100024,-0.244035174605,243.455963135
-0.5338880494300657,-0.256209214218,243.464675903
-0.55968756113265,-0.268372166902,243.472381592
-0.5854870704128945,-0.280557294376,243.478759766
-0.6113817824880213,-0.292786771432,243.485107422
-0.6372764969854878,-0.305082772393,243.490829468
-0.6632664094331572,-0.317412036937,243.496231079
-0.6892563218808265,-0.329741301481,243.50100708
-0.7152462391731752,-0.342037305702,243.506469727
-0.7414265547882694,-0.35427786829,243.513076782
-0.7674164672359387,-0.36647408409,243.522109985
-0.7935015824784902,-0.378670298494,243.533081055
-0.8195867001433815,-0.390888685826,243.545333862
-0.8455766125910509,-0.403151425067,243.55760192900001
-0.8716617278336025,-0.41550286673,243.568893433
-0.8978420434486967,-0.427909743972,243.57904052700002
-0.9239271586912482,-0.4403498834,243.58868408200001
-0.9502026746788849,-0.452790020499,243.597106934
-0.9763829927163187,-0.465196898673,243.605438232
-1.002753709076498,-0.47758160159,243.61407470700001
-1.0290292274864743,-0.489966300782,243.62225341799999
-1.0553999462689934,-0.502351000905,243.630249023
-1.0817706650515122,-0.514780052938,243.638549805
-1.1082365842065736,-0.527264542412,243.64735412599998
-1.1347025057839748,-0.539793379605,243.65646362299998
-1.1611684249390364,-0.552333307918,243.666641235
-1.1877295444666403,-0.564839970786,243.677261353
-1.2143858667891265,-0.577291196678,243.687667847
-1.2410421891116128,-0.589709160384,243.697402954
-1.2676985090117594,-0.602127124555,243.706619263
-1.2944500341291278,-0.614567262586,243.71505737299998
-1.3212015568241569,-0.62706283899,243.72341918900003
-1.3478578791466431,-0.639591677114,243.73110961900002
-1.3746094042640116,-0.652142691892,243.738998413
-1.4013609245367007,-0.664693702478,243.74722290000003
-1.4281124472317295,-0.677255804185,243.757278442
-1.454863972349098,-0.689806819428,243.76736450200002
-1.4817106954166694,-0.702380008996,243.77838134799998
-1.5084622181116982,-0.714953194838,243.789093018
-1.5353089436016092,-0.727581820916,243.79946899400002
-1.5621556666691807,-0.740243706852,243.80892944299998
-1.5890023921590917,-0.752927772235,243.818481445
-1.615849115226663,-0.765645096079,243.82640075700002
-1.6427910410891167,-0.778362419922,243.834274292
-1.6698281673241129,-0.79106865963,243.840866089
-1.6967700931865664,-0.803763809148,243.846206665
-1.7238072194215626,-0.816481133457,243.849624634
-1.7508443456565588,-0.829220634419,243.85191345200002
-1.777881469469215,-0.841949047521,243.84075927700002
-1.804918598126551,-0.854710722342,243.84213256799998
-1.8319557243615472,-0.867494571954,243.84339904799998
-1.8590880533914256,-0.880289510824,243.845428467
-1.8861251796264218,-0.89307335997,243.847412109
-1.9132575062339605,-0.90586829884,243.84925842299998
-1.940389835263839,-0.91866323445,243.85081481900002
-1.9675221618713776,-0.931480344385,243.85186767599998
-1.9946544884789164,-0.944286370184,243.85136413599997
-2.021882017881337,-0.957103483845,243.850463867
-2.049014346911216,-0.969909507781,243.849731445
