heading,x,y
66.1128845215,31.3026226468,121.291149069
66.0702667236,31.302623148,121.291150433
65.9738006592,31.3026236592,121.291151862
65.924041748,31.3026241987,121.291153329
65.8830032349,31.3026247642,121.291154847
65.8293380737,31.3026253336,121.291156432
65.8204269409,31.3026259326,121.291158062
65.7645187378,31.3026265335,121.291159736
65.7261123657,31.302627147,121.291161436
65.6804733276,31.3026278604,121.291163105
65.5767745972,31.3026285083,121.29116486
65.4619827271,31.3026291741,121.291166639
65.3556671143,31.3026298613,121.291168434
65.2652282715,31.3026305472,121.291170265
65.2224884033,31.302631167,121.291172276
65.0606079102,31.3026318866,121.291174192
65.0111541748,31.3026326132,121.291176119
64.9378356934,31.3026333246,121.29117803
64.826461792,31.3026340278,121.291179901
64.7447967529,31.3026347134,121.291181628
64.6689300537,31.302635396,121.291183393
64.5967636108,31.3026360571,121.291185143
64.5690536499,31.3026367234,121.291186873
64.4719619751,31.3026373836,121.291188601
64.4193878174,31.3026380024,121.291190126
64.3660583496,31.3026386585,121.291191805
64.2886657715,31.3026393003,121.291193468
64.2124557495,31.3026399485,121.291195121
64.1292724609,31.3026406007,121.291196767
64.0640182495,31.302641394,121.291198092
63.9880943298,31.3026420648,121.29119973
63.9511909485,31.3026427597,121.291201373
63.847782135,31.3026434478,121.291203036
63.7981491089,31.3026441473,121.291204703
63.8191566467,31.3026447656,121.291206139
64.003868103,31.3026454387,121.291207806
64.1811523438,31.3026461253,121.291209476
64.3628082275,31.3026468062,121.291211147
64.5370330811,31.3026474894,121.291212839
64.6790237427,31.3026480445,121.291214289
64.8129196167,31.302648744,121.291216001
64.9652481079,31.3026494345,121.291217745
65.1444015503,31.3026501325,121.291219493
65.2784194946,31.3026508195,121.291221252
65.4285964966,31.3026513269,121.291222865
65.5780715942,31.3026520043,121.291224618
65.7485046387,31.302652688,121.291226386
65.9053649902,31.3026533733,121.29122819
66.0846405029,31.3026540778,121.291230012
66.2244262695,31.3026546153,121.2912319
66.4446487427,31.3026553086,121.291233748
66.5557022095,31.3026559726,121.291235586
66.6988296509,31.3026566392,121.291237399
66.8221664429,31.3026571043,121.29123935
66.9513702393,31.302657734,121.291241144
67.0921478271,31.302658353,121.291242939
67.224899292,31.3026589821,121.291244721
67.3120040894,31.3026595865,121.29124652
67.5614929199,31.3026601334,121.291248409
67.3420181274,31.3026607443,121.2912502
66.8370132446,31.302661399,121.291251975
66.487487793,31.3026620582,121.291253747
66.0895843506,31.3026627339,121.29125552
65.6861114502,31.3026634258,121.291257308
65.2875823975,31.3026641426,121.291259216
64.8360366821,31.3026648644,121.291261035
64.465461731,31.3026656093,121.291262844
63.9965667725,31.3026663447,121.291264636
63.5983810425,31.3026670963,121.291266379
63.5655822754,31.3026676835,121.291268295
63.5918388367,31.3026683741,121.291269993
63.697467804,31.3026690493,121.291271683
63.6328582764,31.3026697315,121.29127336
63.6655960083,31.3026704037,121.291275033
63.6365394592,31.3026710886,121.291276839
63.6197319031,31.3026717558,121.291278496
63.7198410034,31.3026724111,121.291280152
63.9988899231,31.3026730555,121.291281802
64.2344284058,31.3026736964,121.291283457
64.4920959473,31.3026744108,121.291285255
64.7972259521,31.3026750666,121.291286956
64.984588623,31.3026757087,121.291288695
65.3011627197,31.3026763594,121.291290447
65.5354919434,31.302677,121.291292226
65.7456817627,31.3026777196,121.291294101
65.9752120972,31.3026783671,121.291295928
66.2543334961,31.3026790239,121.29129778
66.5187911987,31.302679672,121.291299669
66.8568344116,31.3026803384,121.291301572
67.0611801147,31.3026810219,121.291303546
67.385635376,31.3026816615,121.291305446
67.6237869263,31.3026822722,121.291307315
67.9015274048,31.3026828701,121.291309136
68.15625,31.3026834451,121.291310909
68.4198913574,31.3026840012,121.291312603
68.4443054199,31.3026845525,121.29131433
68.4711151123,31.3026851325,121.291316038
68.3754882812,31.302685689,121.291317746
68.3895950317,31.3026862604,121.29131944
68.3415298462,31.3026867248,121.291321216
68.3008728027,31.302687282,121.291322907
68.2777633667,31.3026878393,121.291324591
68.2425003052,31.3026884089,121.291326279
67.9547576904,31.3026890027,121.291327974
67.2278747559,31.3026895486,121.291329761
66.6408920288,31.3026902097,121.291331477
65.9930038452,31.3026908701,121.291333189
65.4041824341,31.3026915665,121.291334886
64.7313156128,31.302692265,121.29133659
64.0876541138,31.3026929272,121.291338373
63.753578186,31.302693652,121.291340085
63.6847686768,31.3026943788,121.291341791
63.5861434937,31.302695103,121.291343513
63.48279953,31.3026958542,121.291345233
63.3465003967,31.3026965614,121.291346995
63.2336959839,31.3026973061,121.291348725
63.1266326904,31.3026980534,121.291350448
63.0945472717,31.3026988003,121.291352181
63.2906112671,31.3026995316,121.291353919
63.4697685242,31.3027001799,121.291355737
63.6390609741,31.302700898,121.291357508
63.8636703491,31.3027016332,121.29135928
63.9935760498,31.3027023555,121.29136108
64.2217025757,31.3027030855,121.291362891
64.3402709961,31.3027037684,121.291364849
64.5458145142,31.3027044908,121.291366682
64.7487182617,31.3027051928,121.291368506
64.9602737427,31.302705904,121.291370313
65.1474304199,31.3027065967,121.29137213
65.3493881226,31.3027072288,121.291374018
65.5217056274,31.3027079078,121.291375839
65.7342071533,31.3027085786,121.291377643
65.9070968628,31.3027092376,121.291379444
65.9201965332,31.3027099122,121.291381234
65.5701141357,31.3027105144,121.291383023
65.310546875,31.3027112144,121.29138477
65.0091247559,31.3027119039,121.291386513
64.7265853882,31.3027126252,121.291388239
64.4138717651,31.3027133241,121.291389962
64.629989624,31.3027138588,121.291391802
64.9410247803,31.3027145132,121.291393524
65.1903839111,31.3027151466,121.291395257
65.5294647217,31.302715809,121.291396966
65.8330307007,31.3027164335,121.29139869
66.0730133057,31.3027169057,121.291400437
66.4621810913,31.3027175324,121.29140217
66.6060562134,31.3027181318,121.291403928
67.05519104,31.302718739,121.291405679
67.2127685547,31.3027193165,121.291407428
67.4486236572,31.3027198262,121.291409131
67.2193908691,31.3027204118,121.29141084
67.1262969971,31.3027210093,121.291412529
66.9921417236,31.3027216079,121.291414217
66.8718719482,31.3027222078,121.291415911
66.7329711914,31.302722803,121.291417554
66.6005172729,31.3027234107,121.291419239
66.4922790527,31.3027240225,121.291420919
66.3403167725,31.3027246294,121.291422596
66.2499694824,31.3027252771,121.291424246
66.1645431519,31.3027259017,121.291425912
66.0318069458,31.302726528,121.291427578
65.8789672852,31.3027271537,121.291429253
65.8004150391,31.302727793,121.291430921
65.5672225952,31.3027284241,121.291432598
65.4932174683,31.302729009,121.291434339
65.3412704468,31.3027296433,121.291436002
65.2248382568,31.3027302696,121.291437654
65.0845794678,31.3027308987,121.291439296
64.982749939,31.3027315272,121.291440926
64.8159255981,31.3027319583,121.291442514
64.7122955322,31.3027325591,121.291444119
64.6253204346,31.3027331744,121.29144571
64.495513916,31.3027337775,121.291447303
64.3685913086,31.3027343859,121.291448899
64.3006515503,31.3027349403,121.291450397
64.1813049316,31.3027355334,121.291451978
64.0969619751,31.3027361326,121.291453549
64.0051803589,31.3027367287,121.291455101
63.9407196045,31.3027373232,121.291456644
63.8177604675,31.3027380847,121.291458047
63.7678985596,31.3027387096,121.291459604
63.5804481506,31.302739328,121.291461177
63.4926490784,31.3027399603,121.291462743
63.374080658,31.302740584,121.291464315
63.2587165833,31.3027413061,121.291465708
63.1579475403,31.3027419517,121.291467269
63.3767051697,31.3027425689,121.291468843
63.734046936,31.3027431795,121.291470423
64.0640106201,31.3027437838,121.291472015
64.430847168,31.3027443034,121.291473495
64.6961669922,31.3027448858,121.291475077
65.0079345703,31.3027454597,121.291476671
65.325668335,31.3027460217,121.291478265
65.6544494629,31.3027465492,121.291479732
66.0105361938,31.3027470862,121.291481287
66.2741851807,31.3027475991,121.291482844
66.5766601562,31.3027481235,121.291484386
66.7296524048,31.3027486369,121.291485937
66.8941116333,31.3027491436,121.291487491
67.0643997192,31.3027497048,121.291488907
67.2139816284,31.3027502082,121.29149045
67.374786377,31.3027507066,121.291492005
67.5721206665,31.3027512178,121.291493561
67.5046463013,31.3027517243,121.291495118
67.0419616699,31.3027523146,121.291496582
66.7407073975,31.3027528745,121.291498131
66.396697998,31.3027534359,121.291499695
65.9984207153,31.3027540201,121.291501274
65.7182846069,31.3027546294,121.291502862
65.2406997681,31.302755261,121.291504429
64.8738327026,31.3027558992,121.291506063
64.5335769653,31.3027565444,121.291507712
64.1597976685,31.3027571896,121.291509363
63.778339386,31.3027578556,121.291511008
63.616027832,31.3027586359,121.291512597
63.7641983032,31.3027592945,121.291514268
63.8900032043,31.3027599593,121.291515948
63.9932823181,31.3027606216,121.291517632
64.078125,31.302761273,121.291519318
64.1730270386,31.3027620168,121.291520996
64.2637252808,31.3027626685,121.291522648
64.3777694702,31.3027632999,121.291524294
64.4634933472,31.3027639359,121.29152593
64.5733718872,31.3027645643,121.291527554
64.5872879028,31.3027652244,121.291529202
64.7254257202,31.3027658511,121.29153081
64.7469863892,31.302766467,121.291532419
64.8161773682,31.3027670959,121.291534036
64.907623291,31.3027677102,121.291535659
64.9828338623,31.3027683706,121.291537342
65.0628738403,31.3027689997,121.291538973
65.1592483521,31.3027696254,121.291540611
65.2843475342,31.3027702637,121.291542259
65.3460769653,31.3027708926,121.291543936
65.5075531006,31.302771532,121.291545739
65.5787658691,31.3027721689,121.29154747
65.7130355835,31.302772826,121.291549201
65.8148117065,31.3027734755,121.291550952
65.9208221436,31.3027741234,121.291552712
66.0256881714,31.3027746919,121.29155456
66.1153030396,31.3027753373,121.291556325
66.2126998901,31.3027759789,121.291558103
66.3604354858,31.3027766338,121.29155988
66.3870620728,31.3027772718,121.291561662
66.4831008911,31.3027777637,121.29156351
66.6056365967,31.3027783849,121.291565281
66.717010498,31.3027790012,121.291567039
66.831817627,31.3027796064,121.291568793
66.9397888184,31.3027800986,121.291570654
67.0481338501,31.3027806878,121.291572406
67.1910400391,31.3027812853,121.29157416
67.2709503174,31.3027818857,121.291575907
67.3991012573,31.3027824653,121.291577669
67.5530395508,31.3027830541,121.291579432
67.66015625,31.3027836381,121.291581215
67.7674636841,31.3027842153,121.291582981
67.9331588745,31.3027848001,121.291584741
68.0242843628,31.302785371,121.291586511
68.1541748047,31.3027859517,121.291588287
68.2535171509,31.3027865615,121.291590049
68.3173828125,31.3027871344,121.291591832
68.4201965332,31.3027877021,121.291593606
68.4978027344,31.3027882518,121.291595365
68.5822372437,31.3027888122,121.291597111
68.6783447266,31.3027892739,121.291598865
68.7921981812,31.3027898258,121.291600604
68.8527297974,31.3027903656,121.29160236
68.9455947876,31.3027909167,121.291604117
69.0191802979,31.3027914555,121.291605889
69.0537490845,31.3027920058,121.291607691
68.4805603027,31.3027925941,121.29160948
67.8930130005,31.3027932179,121.291611264
67.2982635498,31.3027938497,121.291613049
66.708480835,31.3027945083,121.291614823
66.1571655273,31.3027951283,121.291616656
65.5641174316,31.3027958181,121.291618415
64.9242935181,31.3027965115,121.291620161
64.3224868774,31.3027972089,121.291621882
63.755027771,31.3027979172,121.291623563
63.1839447021,31.3027986524,121.291625315
62.6004638672,31.3027993752,121.291626939
62.0805969238,31.3028001055,121.291628533
61.4644012451,31.3028008307,121.291630112
60.9590759277,31.3028015861,121.291631644
60.4307250977,31.3028022894,121.291633251
59.8628921509,31.3028030483,121.291634741
59.1568603516,31.3028038106,121.291636203
58.3631439209,31.3028045933,121.291637619
57.5654792786,31.3028053726,121.291639002
56.7794303894,31.302806118,121.29164043
56.0769195557,31.3028069022,121.29164174
55.2776298523,31.3028076789,121.291643009
54.6397171021,31.3028084577,121.29164422
53.9128990173,31.3028092195,121.291645407
53.2551994324,31.3028099932,121.291646692
52.5115966797,31.3028107708,121.291647842
51.8026275635,31.3028115592,121.291648969
51.1489830017,31.302812329,121.291650061
50.4638595581,31.3028130929,121.291651117
49.8369750977,31.3028139025,121.291652245
49.2019538879,31.3028146849,121.291653265
48.5635452271,31.3028154757,121.291654278
47.9132461548,31.3028162877,121.291655284
47.2388458252,31.3028171253,121.291656305
46.5887489319,31.302818028,121.291657589
45.9288597107,31.3028189268,121.291658638
45.1937599182,31.3028198633,121.291659701
44.4731636047,31.3028208446,121.291660774
43.7169952393,31.3028218597,121.291661874
42.9764556885,31.3028229685,121.291663084
42.2031784058,31.3028240753,121.291664201
41.3408050537,31.3028252006,121.291665319
40.5499458313,31.3028263691,121.291666411
39.0128822327,31.302827601,121.291667487
37.1109390259,31.3028289383,121.291668655
35.3899688721,31.3028303214,121.291669677
33.3398551941,31.3028317433,121.291670663
31.0776023865,31.3028332279,121.291671533
28.8147850037,31.3028347393,121.291672378
26.4623718262,31.3028362747,121.291673275
24.1345977783,31.3028378734,121.291673999
21.8149662018,31.3028395042,121.291674649
19.5159702301,31.302841157,121.291675217
17.2862148285,31.3028428178,121.291675692
14.9857368469,31.3028444739,121.291676272
12.6417274475,31.3028461339,121.291676599
10.3561944962,31.3028477897,121.291676852
8.06015014648,31.3028494549,121.291677014
5.83628511429,31.3028511196,121.29167711
3.74557971954,31.3028527979,121.291677415
1.91410183907,31.3028544283,121.291677388
0.170638263226,31.3028560362,121.291677323
358.730773926,31.3028576125,121.291677204
357.220275879,31.3028591648,121.291677038
355.706695557,31.3028608108,121.291677063
354.234680176,31.3028623063,121.291676834
352.864196777,31.3028637669,121.291676551
351.584716797,31.3028651753,121.291676254
350.751861572,31.3028665533,121.291675961
349.894866943,31.3028680208,121.291675787
349.149627686,31.3028693275,121.291675464
348.366943359,31.3028706095,121.291675125
347.587219238,31.3028718648,121.291674762
346.756072998,31.3028731022,121.29167438
346.277801514,31.3028745081,121.291674102
345.898193359,31.3028757284,121.291673739
345.544677734,31.3028769325,121.291673377
345.142242432,31.3028781064,121.291673013
344.793731689,31.3028792621,121.291672639
344.471313477,31.3028805383,121.291672313
344.138122559,31.3028816642,121.291671929
343.781555176,31.3028827813,121.291671541
343.457275391,31.3028838932,121.291671146
343.092956543,31.3028849967,121.291670754
342.750793457,31.3028862568,121.29167047
342.38571167,31.3028873598,121.291670074
342.013458252,31.3028884476,121.291669663
341.698516846,31.3028895327,121.291669246
341.381561279,31.3028906119,121.291668813
340.982879639,31.3028917634,121.291668485
340.623565674,31.3028928457,121.291668048
340.33984375,31.3028939172,121.291667604
339.955688477,31.3028949719,121.291667166
339.663085938,31.3028960153,121.291666715
339.37121582,31.302897125,121.291666295
339.567169189,31.3028981845,121.291665874
339.743530273,31.3028992625,121.291665438
339.894958496,31.3029003585,121.291665016
340.040740967,31.3029014587,121.291664598
340.220184326,31.3029026153,121.291664247
340.369354248,31.302903725,121.291663844
340.572814941,31.3029048374,121.291663434
340.352233887,31.302905958,121.291662996
340.178894043,31.3029070911,121.291662548
339.93649292,31.3029082553,121.291662056
339.750854492,31.3029094398,121.291661574
339.509216309,31.3029106515,121.291661072
339.307952881,31.3029118946,121.291660552
339.071502686,31.3029131789,121.291660009
338.799835205,31.3029141842,121.291659386
338.587249756,31.3029154631,121.291658817
338.360107422,31.3029167431,121.291658249
338.182128906,31.3029180151,121.291657672
337.920288086,31.3029192955,121.29165709
337.711639404,31.3029203899,121.29165656
337.440124512,31.3029216731,121.291655962
337.26940918,31.3029229491,121.291655352
337.006561279,31.3029242152,121.291654755
336.789581299,31.3029254679,121.29165414
336.848724365,31.3029266544,121.291653722
337.082763672,31.3029279026,121.291653173
337.300262451,31.3029291528,121.291652633
337.499267578,31.3029303943,121.29165211
337.692199707,31.3029316235,121.291651592
337.884857178,31.3029327145,121.291651113
338.068054199,31.3029339249,121.291650622
338.297058105,31.3029351415,121.29165012
338.422058105,31.3029363591,121.291649645
338.304382324,31.3029375669,121.291649138
338.104217529,31.3029386133,121.291648555
337.853179932,31.3029397901,121.291648048
337.722686768,31.3029409412,121.291647537
