heading,x,y
180.619995117,31.1377501,118.1817044
180.63999939,31.1377497,118.1817044
180.660003662,31.1377491,118.1817044
180.669998169,31.1377487,118.1817044
180.690002441,31.1377481,118.1817044
180.699996948,31.1377477,118.1817044
180.720001221,31.1377471,118.1817044
180.729995728,31.1377464,118.1817044
180.740005493,31.137746,118.1817044
180.740005493,31.1377454,118.1817043
180.75,31.1377449,118.1817043
180.75,31.1377442,118.1817043
180.759994507,31.1377437,118.1817043
180.779998779,31.137743,118.1817043
180.789993286,31.1377425,118.1817043
180.800003052,31.1377418,118.1817043
180.809997559,31.1377413,118.1817043
180.820007324,31.1377406,118.1817043
180.820007324,31.1377401,118.1817043
180.820007324,31.1377393,118.1817043
180.820007324,31.1377388,118.1817043
180.809997559,31.137738,118.1817042
180.820007324,31.1377374,118.1817042
180.820007324,31.1377366,118.1817042
180.820007324,31.1377361,118.1817042
180.830001831,31.1377353,118.1817042
180.839996338,31.1377347,118.1817042
180.850006104,31.1377339,118.1817042
180.869995117,31.1377333,118.1817042
180.88999939,31.1377324,118.1817042
180.919998169,31.1377318,118.1817042
180.949996948,31.137731,118.1817042
180.979995728,31.1377304,118.1817042
181.009994507,31.1377295,118.1817042
181.039993286,31.1377289,118.1817042
181.059997559,31.1377279,118.1817041
181.089996338,31.1377273,118.1817041
181.100006104,31.1377264,118.1817041
181.11000061,31.1377257,118.1817041
181.119995117,31.1377248,118.1817041
181.119995117,31.1377241,118.1817041
181.13999939,31.1377232,118.181704
181.179992676,31.1377225,118.1817041
181.199996948,31.1377215,118.1817041
181.25,31.1377209,118.181704
181.279998779,31.1377199,118.181704
181.309997559,31.1377192,118.181704
181.339996338,31.1377182,118.181704
181.380004883,31.1377175,118.181704
181.399993896,31.1377165,118.181704
181.419998169,31.1377158,118.181704
181.429992676,31.1377147,118.1817039
181.429992676,31.137714,118.1817039
181.429992676,31.1377129,118.1817039
181.429992676,31.1377122,118.1817039
181.419998169,31.1377111,118.1817038
181.419998169,31.1377104,118.1817038
181.419998169,31.1377095,118.1817038
181.410003662,31.1377084,118.1817037
181.410003662,31.1377077,118.1817037
181.410003662,31.1377066,118.1817037
181.419998169,31.1377059,118.1817036
181.429992676,31.1377048,118.1817036
181.440002441,31.137704,118.1817036
181.449996948,31.1377029,118.1817036
181.460006714,31.1377022,118.1817035
181.479995728,31.137701,118.1817035
181.5,31.1377003,118.1817035
181.529998779,31.1376992,118.1817035
181.539993286,31.1376984,118.1817035
181.570007324,31.1376972,118.1817034
181.580001831,31.1376965,118.1817034
181.600006104,31.1376953,118.1817034
181.600006104,31.1376945,118.1817034
181.600006104,31.1376934,118.1817034
181.600006104,31.1376926,118.1817034
181.589996338,31.1376914,118.1817033
181.589996338,31.1376906,118.1817033
181.589996338,31.1376894,118.1817033
181.589996338,31.1376886,118.1817032
181.600006104,31.1376875,118.1817032
181.61000061,31.1376867,118.1817032
181.630004883,31.1376855,118.1817031
181.649993896,31.1376846,118.1817031
181.679992676,31.1376834,118.1817031
181.710006714,31.1376826,118.1817031
181.740005493,31.1376814,118.181703
181.770004272,31.1376806,118.181703
181.789993286,31.1376794,118.181703
181.809997559,31.1376785,118.181703
181.830001831,31.1376773,118.181703
181.839996338,31.1376765,118.1817029
181.86000061,31.1376752,118.1817029
181.86000061,31.1376744,118.1817029
181.86000061,31.1376731,118.1817028
181.86000061,31.1376723,118.1817028
181.86000061,31.137671,118.1817027
181.86000061,31.1376702,118.1817027
181.850006104,31.137669,118.1817027
181.850006104,31.1376681,118.1817027
181.850006104,31.1376668,118.1817026
181.839996338,31.137666,118.1817026
181.830001831,31.1376647,118.1817025
181.830001831,31.1376638,118.1817025
181.839996338,31.1376626,118.1817024
181.839996338,31.1376617,118.1817024
181.850006104,31.1376604,118.1817024
181.86000061,31.1376596,118.1817024
181.88999939,31.1376583,118.1817023
181.910003662,31.1376574,118.1817023
181.940002441,31.1376562,118.1817023
181.949996948,31.1376553,118.1817023
182,31.137654,118.1817022
182.050003052,31.137653,118.1817022
182.059997559,31.1376514,118.1817021
182.059997559,31.1376503,118.181702
182.050003052,31.1376486,118.181702
182.050003052,31.1376469,118.1817019
182.059997559,31.1376458,118.1817019
182.080001831,31.1376447,118.1817019
182.080001831,31.1376431,118.1817018
182.080001831,31.1376414,118.1817018
182.089996338,31.1376402,118.1817017
182.089996338,31.1376384,118.1817016
182.11000061,31.1376371,118.1817016
182.130004883,31.1376352,118.1817016
182.149993896,31.1376339,118.1817015
182.179992676,31.137632,118.1817014
182.210006714,31.1376307,118.1817014
182.229995728,31.1376288,118.1817013
182.259994507,31.1376275,118.1817013
182.270004272,31.1376256,118.1817012
182.259994507,31.1376243,118.1817011
182.270004272,31.1376225,118.1817011
182.279998779,31.1376213,118.181701
182.300003052,31.1376194,118.181701
182.309997559,31.1376182,118.1817009
182.320007324,31.1376164,118.1817009
182.320007324,31.1376152,118.1817008
182.320007324,31.1376133,118.1817007
182.309997559,31.137612,118.1817007
182.300003052,31.13761,118.1817006
182.300003052,31.1376087,118.1817005
182.309997559,31.1376068,118.1817004
182.309997559,31.1376055,118.1817004
182.320007324,31.1376035,118.1817003
182.330001831,31.1376022,118.1817002
182.339996338,31.1376003,118.1817001
182.350006104,31.137599,118.1817
182.36000061,31.1375971,118.1816999
182.339996338,31.1375958,118.1816999
